公園番号,公園名称,ｶﾅ公園名称,公園種別,所在地,所管名,支所名,校区名,開設面積（ha）
400-185,石津町あらかし公園,ｲｼﾂﾞﾁｮｳｱﾗｶｼｺｳｴﾝ,広場,堺区石津町３丁１２３５－８５,大浜,堺,神石,0.02
400-186,七道西町れんぎょう公園,ｼﾁﾄﾞｳﾆｼﾏﾁﾚﾝｷﾞｮｳｺｳｴﾝ,幼児,堺区七道西町１２－４８,大浜,堺,錦西,0.05
400-187,草部あべりあ公園,ｸｻﾍﾞｱﾍﾞﾘｱｺｳｴﾝ,広場,西区草部２６５－４６,大浜,西,福泉,0.01
400-188,毛穴町まあがれっと公園,ｹﾅﾁｮｳﾏｱｶﾞﾚｯﾄｺｳｴﾝ,広場,中区毛穴町３８２－１０,原池,中,八田荘,0.02
400-189,遠里小野町けやき公園,ｵﾘｵﾉﾁｮｳｹﾔｷｺｳｴﾝ,広場,堺区遠里小野町１丁１１－２,大浜,堺,錦綾,0.00
400-190,日置荘西町こぶし公園,ﾋｷｼｮｳﾆｼﾏﾁｺﾌﾞｼｺｳｴﾝ,幼児,東区日置荘西町５丁３４２－１２,原池,東,日置荘西,0.03
400-191,引野町なつぐみ公園,ﾋｷﾉﾁｮｳﾅﾂｸﾞﾐｺｳｴﾝ,広場,東区引野町２丁１００－６,原池,東,八下西,0.01
400-192,北野田こおろぎ公園,ｷﾀﾉﾀﾞｺｵﾛｷﾞｺｳｴﾝ,広場,東区北野田４５７－１７,原池,東,野田,0.01
400-193,深井北町よめな公園,ﾌｶｲｷﾀﾏﾁﾖﾒﾅｺｳｴﾝ,広場,中区深井北町３４９５－１１,原池,中,深井,0.02
400-194,浜寺諏訪森町みつばち公園,ﾊﾏﾃﾞﾗｽﾜﾉﾓﾘﾁｮｳﾐﾂﾊﾞﾁｺｳｴﾝ,広場,西区浜寺諏訪森町中１丁３９－３０,大浜,西,浜寺,0.01
400-195,堀上町ひいらぎ公園,ﾎﾘｱｹﾞﾁｮｳﾋｲﾗｷﾞｺｳｴﾝ,広場,中区堀上町１７０－１７,原池,中,八田荘,0.01
400-196,深阪てんとうむし公園,ﾌｶｻｶﾃﾝﾄｳﾑｼｺｳｴﾝ,広場,中区深阪２丁２２６２－７,原池,中,深阪,0.01
400-197,老松町公園,ｵｲﾏﾂﾁｮｳｺｳｴﾝ,街区,堺区老松町１丁５－１,大浜,堺,新湊,0.36
400-198,深井中町もうそうちく公園,ﾌｶｲﾅｶﾏﾁﾓｳｿｳﾁｸｺｳｴﾝ,広場,中区深井中町１９４８－４７,原池,中,深井西,0.02
400-199,土師町むくげ公園,ﾊｾﾞﾁｮｳﾑｸｹﾞｺｳｴﾝ,広場,中区土師町５丁２７－７,原池,中,土師,0.03
400-200,高倉台あおぎり公園,ﾀｶｸﾗﾀﾞｲｱｵｷﾞﾘｺｳｴﾝ,広場,南区高倉台２丁２５－３７,泉ヶ丘,南,高倉台西,0.02
400-201,蔵前町にしきぎ公園,ｸﾗﾏｴﾁｮｳﾆｼｷｷﾞｺｳｴﾝ,幼児,北区蔵前町１丁１５６２－１２,大浜,北,五箇荘,0.04
400-202,旭ヶ丘北町なずな公園,ｱｻﾋｶﾞｵｶｷﾀﾏﾁﾅｽﾞﾅｺｳｴﾝ,幼児,堺区旭ヶ丘北町４丁１５１－６,大浜,堺,大仙,0.04
400-203,深井中町はこべ公園,ﾌｶｲﾅｶﾏﾁﾊｺﾍﾞｺｳｴﾝ,幼児,中区深井中町９７４－７,原池,中,深井西,0.04
400-204,下草尾公園,ｼﾓｸｻｵｺｳｴﾝ,街区,東区草尾３１－２,原池,東,登美丘西,0.16
400-205,上之つきみそう公園,ｳｴﾉﾂｷﾐｿｳｺｳｴﾝ,広場,中区上之４３０－２,原池,中,東陶器,0.01
400-206,田園さくらそう公園,ﾀｿﾞﾉｻｸﾗｿｳｺｳｴﾝ,広場,中区田園４３５－２３,原池,中,西陶器,0.02
400-207,北波止町きりぎりす公園,ｷﾀﾊﾄﾁｮｳｷﾘｷﾞﾘｽｺｳｴﾝ,広場,堺区北波止町２６－１６,大浜,堺,市,0.01
400-208,賑町おおばこ公園,ﾆｷﾞﾜｲﾁｮｳｵｵﾊﾞｺｺｳｴﾝ,幼児,堺区賑町４丁６５－４,大浜,堺,安井,0.04
400-209,菱木ぷらたなす公園,ﾋｼｷﾌﾟﾗﾀﾅｽｺｳｴﾝ,幼児,西区山田２丁１８３－５４,大浜,西,福泉,0.03
400-210,草尾つくし公園,ｸｻｵﾂｸｼｺｳｴﾝ,幼児,東区草尾１５４－６,原池,東,登美丘西,0.04
400-211,浜寺南町あめんぼ公園,ﾊﾏﾃﾞﾗﾐﾅﾐﾏﾁｱﾒﾝﾎﾞｺｳｴﾝ,広場,西区浜寺南町２丁１４１－１３,大浜,西,浜寺昭和,0.02
400-212,深井中町なんてん公園,ﾌｶｲﾅｶﾏﾁﾅﾝﾃﾝｺｳｴﾝ,幼児,中区深井中町１２７５－２５,原池,中,深井,0.05
400-213,草部ひなぎく公園,ｸｻﾍﾞﾋﾅｷﾞｸｺｳｴﾝ,幼児,西区草部１５４１－３,大浜,西,福泉上,0.05
400-214,上りんどう公園,ｶﾐﾘﾝﾄﾞｳｺｳｴﾝ,広場,西区上１８９－２,大浜,西,福泉上,0.02
400-215,深井北町よもぎ公園,ﾌｶｲｷﾀﾏﾁﾖﾓｷﾞｺｳｴﾝ,幼児,中区深井北町３２３０,原池,中,深井,0.08
400-216,新家町げんごろう公園,ｼﾝｹﾁｮｳｹﾞﾝｺﾞﾛｳｺｳｴﾝ,広場,中区新家町５１７－２,原池,中,東百舌鳥,0.03
400-217,協和町第５公園,ｷｮｳﾜﾁｮｳﾀﾞｲ5ｺｳｴﾝ,街区,堺区協和町３丁３１６－１,大浜,堺,大仙西,0.10
400-218,鳳南町公園,ｵｵﾄﾘﾐﾅﾐﾏﾁｺｳｴﾝ,街区,西区鳳南町５丁４８８－１,大浜,西,鳳南,0.14
400-219,浜寺船尾第３公園,ﾊﾏﾃﾞﾗﾌﾅｵﾀﾞｲ3ｺｳｴﾝ,街区,西区浜寺船尾町西１丁２７６,大浜,西,浜寺東,0.21
400-220,開公園,ﾋﾗｷｺｳｴﾝ,街区,中区深阪４丁１９０１,原池,中,深阪,0.25
400-221,西之条公園,ﾆｼﾉｼﾞｮｳｺｳｴﾝ,街区,中区深阪３丁２０８３,原池,中,深阪,0.34
400-222,八石公園,ﾊﾁｺｸｺｳｴﾝ,街区,中区深阪１丁２４４７,原池,中,深阪,0.36
400-223,尻戸公園,ｼﾘﾄﾞｺｳｴﾝ,街区,中区深阪４丁２５４８,原池,中,深阪,0.33
400-224,矢尾公園,ﾔﾅｺﾞｺｳｴﾝ,街区,中区深阪５丁１７８６,原池,中,深阪,0.10
400-225,矢谷公園,ﾔﾀﾞﾆｺｳｴﾝ,街区,中区深阪６丁１８１１,原池,中,深阪,0.10
400-226,鳳東町おりいぶ公園,ｵｵﾄﾘﾋｶﾞｼﾏﾁｵﾘｲﾌﾞｺｳｴﾝ,街区,西区鳳東町７丁７３５－７,大浜,西,鳳,0.12
400-227,土師町すずしろ公園,ﾊｾﾞﾁｮｳｽｽﾞｼﾛｺｳｴﾝ,街区,中区土師町４丁１８７８－２,原池,中,土師,0.14
400-228,浜寺石津町東どんぐり公園,ﾊﾏﾃﾞﾗｲｼﾂﾞﾁｮｳﾋｶﾞｼﾄﾞﾝｸﾞﾘｺｳｴﾝ,幼児,西区浜寺石津町東４丁３２０－７,大浜,西,浜寺石津,0.04
400-229,辻之かやのき公園,ﾂｼﾞﾉｶﾔﾉｷｺｳｴﾝ,幼児,中区辻之１１４７－９,原池,中,西陶器,0.08
400-230,辻之あすなろ公園,ﾂｼﾞﾉｱｽﾅﾛｺｳｴﾝ,街区,中区辻之１１４６－２,原池,中,西陶器,0.27
400-231,辻之ひがんばな緑地,ﾂｼﾞﾉﾋｶﾞﾝﾊﾞﾅﾘｮｸﾁ,都市緑地,中区辻之１１４７－１９,原池,中,西陶器,0.13
400-232,鉢ヶ峯寺ななかまど公園,ﾊﾁｶﾞﾐﾈｼﾞﾅﾅｶﾏﾄﾞｺｳｴﾝ,街区,南区鉢ヶ峯寺１０３－８６,泉ヶ丘,南,上神谷,0.13
400-233,福田公園,ﾌｸﾀﾞｺｳｴﾝ,幼児,中区福田３８１－１,原池,中,東陶器,0.05
400-234,太子橋公園,ﾀｲｼﾊﾞｼｺｳｴﾝ,幼児,堺区神南辺町１丁６２－３,大浜,堺,三宝,0.05
400-235,中百舌鳥町みんみんぜみ公園,ﾅｶﾓｽﾞﾁｮｳﾐﾝﾐﾝｾﾞﾐｺｳｴﾝ,広場,北区中百舌鳥町６丁１０１２－１４,大浜,北,中百舌鳥,0.01
400-236,金岡町くつわむし公園,ｶﾅｵｶﾁｮｳｸﾂﾜﾑｼｺｳﾝ,幼児,北区金岡町２３８３－２２,大浜,北,金岡,0.04
400-237,中百舌鳥町はなあぶ公園,ﾅｶﾓｽﾞﾁｮｳﾊﾅｱﾌﾞｺｳｴﾝ,広場,東区白鷺町２丁１１８６－５,原池,東,白鷺,0.02
400-238,陶器北かくれみの公園,ﾄｳｷｷﾀｶｸﾚﾐﾉｺｳｴﾝ,広場,中区陶器北１０４６－５,原池,中,東陶器,0.02
400-239,見野山まつむし公園,ﾐﾉﾔﾏﾏﾂﾑｼｺｳｴﾝ,広場,中区見野山９１－１０,原池,中,東陶器,0.03
400-240,田園やまゆり公園,ﾀｿﾞﾉﾔﾏﾕﾘｺｳｴﾝ,広場,中区田園４７７－１３,原池,中,西陶器,0.02
400-241,田園きいちご公園,ﾀｿﾞﾉｷｲﾁｺﾞｺｳｴﾝ,広場,中区田園１０６５－９,原池,中,西陶器,0.03
400-242,上野芝町ちっちぜみ公園,ｳｴﾉｼﾊﾞﾁｮｳﾁｯﾁｾﾞﾐｺｳｴﾝ,広場,西区上野芝町７丁４５５－６,大浜,西,上野芝,0.01
400-243,引野町ひよどり公園,ﾋｷﾉﾁｮｳﾋﾖﾄﾞﾘｺｳｴﾝ,広場,東区引野町１丁１３４－３,原池,東,八下西,0.01
400-244,中茶屋あげはちょう公園,ﾅｶﾁｬﾔｱｹﾞﾊﾁｮｳｺｳｴﾝ,広場,東区中茶屋７４－８,原池,東,登美丘西,0.01
400-245,石津北町みのむし公園,ｲｼﾂﾞｷﾀﾏﾁﾐﾉﾑｼｺｳｴﾝ,広場,堺区石津北町９３－２,大浜,堺,神石,0.01
400-246,土師町くまぜみ公園,ﾊｾﾞﾁｮｳｸﾏｾﾞﾐｺｳｴﾝ,広場,中区土師町３丁１６８１,原池,中,土師,0.02
400-247,草尾むぎわらとんぼ公園,ｸｻｵﾑｷﾞﾜﾗﾄﾝﾎﾞｺｳｴﾝ,広場,東区草尾３６７－９,原池,東,登美丘南,0.02
400-248,辻之しおん公園,ﾂｼﾞﾉｼｵﾝｺｳｴﾝ,幼児,中区辻之１１９３－７,原池,中,西陶器,0.03
400-249,土師町かすみそう公園,ﾊｾﾞﾁｮｳｶｽﾐｿｳｺｳｴﾝ,広場,中区土師町５丁１９２６－１０,原池,中,土師,0.01
400-250,深井清水町ありんこ公園,ﾌｶｲｼﾐｽﾞﾁｮｳｱﾘﾝｺｺｳｴﾝ,広場,中区深井清水町２０５３－３０,原池,中,深井,0.02
400-251,高松せんりょう公園,ﾀｶﾏﾂｾﾝﾘｮｳｺｳｴﾝ,幼児,東区高松２６３－７,原池,東,登美丘東,0.04
400-252,南野田のばら公園,ﾐﾅﾐﾉﾀﾞﾉﾊﾞﾗｺｳｴﾝ,幼児,東区南野田１７０－４３,原池,東,野田,0.05
400-253,楠町くすのき公園,ｸｽﾉｷﾁｮｳｸｽﾉｷｺｳｴﾝ,広場,堺区楠町１丁１８－３０,大浜,堺,新湊,0.02
400-254,平岡町ねむのき公園,ﾋﾗｵｶﾁｮｳﾈﾑﾉｷｺｳｴﾝ,幼児,西区平岡町１８３－６６,大浜,西,平岡,0.04
