公園番号,公園名称,ｶﾅ公園名称,公園種別,所在地,所管名,支所名,校区名,開設面積（ha）
400-463,赤坂第５公園,ｱｶｻｶﾀﾞｲ5ｺｳｴﾝ,幼児,南区赤坂台１丁５７－１,泉ヶ丘,南,赤坂台,0.06
400-464,赤坂第６公園,ｱｶｻｶﾀﾞｲ6ｺｳｴﾝ,幼児,南区赤坂台３丁６－１,泉ヶ丘,南,赤坂台,0.04
400-465,赤坂第７公園,ｱｶｻｶﾀﾞｲ7ｺｳｴﾝ,幼児,南区赤坂台４丁４－１０,泉ヶ丘,南,赤坂台,0.07
400-466,赤坂第８公園,ｱｶｻｶﾀﾞｲ8ｺｳｴﾝ,幼児,南区赤坂台４丁９－１,泉ヶ丘,南,赤坂台,0.04
400-467,赤坂第１０公園,ｱｶｻｶﾀﾞｲ10ｺｳｴﾝ,幼児,南区赤坂台５丁１３－１３,泉ヶ丘,南,赤坂台,0.07
400-468,赤坂第１１公園,ｱｶｻｶﾀﾞｲ11ｺｳｴﾝ,幼児,南区赤坂台５丁１７－７,泉ヶ丘,南,赤坂台,0.05
400-469,赤坂第１２公園,ｱｶｻｶﾀﾞｲ12ｺｳｴﾝ,幼児,南区赤坂台６丁１－８,泉ヶ丘,南,赤坂台,0.06
400-470,赤坂第１３公園,ｱｶｻｶﾀﾞｲ13ｺｳｴﾝ,幼児,南区赤坂台６丁１６－２７,泉ヶ丘,南,赤坂台,0.04
400-471,新檜尾第１公園,ｼﾝﾋﾉｵﾀﾞｲ1ｺｳｴﾝ,幼児,南区新檜尾台１丁１－５,泉ヶ丘,南,新檜尾台,0.05
400-472,新檜尾第２公園,ｼﾝﾋﾉｵﾀﾞｲ2ｺｳｴﾝ,幼児,南区新檜尾台１丁１４－７,泉ヶ丘,南,新檜尾台,0.04
400-473,新檜尾第３公園,ｼﾝﾋﾉｵﾀﾞｲ3ｺｳｴﾝ,幼児,南区新檜尾台１丁１－５３,泉ヶ丘,南,新檜尾台,0.07
400-474,新檜尾第５公園,ｼﾝﾋﾉｵﾀﾞｲ5ｺｳｴﾝ,幼児,南区新檜尾台４丁３－１,泉ヶ丘,南,新檜尾台,0.07
400-475,新檜尾第７公園,ｼﾝﾋﾉｵﾀﾞｲ7ｺｳｴﾝ,幼児,南区新檜尾台４丁１１－９,泉ヶ丘,南,新檜尾台,0.04
400-476,新檜尾第８公園,ｼﾝﾋﾉｵﾀﾞｲ8ｺｳｴﾝ,幼児,南区新檜尾台４丁１７－４,泉ヶ丘,南,新檜尾台,0.04
400-477,鴨谷第１公園,ｶﾓﾀﾆﾀﾞｲ1ｺｳｴﾝ,幼児,南区鴨谷台１丁２５－６,泉ヶ丘,南,美木多,0.06
400-478,鴨谷第２公園,ｶﾓﾀﾆﾀﾞｲ2ｺｳｴﾝ,幼児,南区鴨谷台１丁３３－１,泉ヶ丘,南,美木多,0.05
400-479,鴨谷第３公園,ｶﾓﾀﾆﾀﾞｲ3ｺｳｴﾝ,幼児,南区鴨谷台１丁５１－１３,泉ヶ丘,南,美木多,0.04
400-480,城山第１公園,ｼﾛﾔﾏﾀﾞｲ1ｺｳｴﾝ,幼児,南区城山台１丁７－１,泉ヶ丘,南,城山台,0.06
400-481,城山第２公園,ｼﾛﾔﾏﾀﾞｲ2ｺｳｴﾝ,幼児,南区城山台３丁２１－１２,泉ヶ丘,南,城山台,0.06
400-482,大仙西町第４公園,ﾀﾞｲｾﾝﾆｼﾏﾁﾀﾞｲ4ｺｳｴﾝ,街区,堺区大仙西町５丁１３９－２,大浜,堺,大仙西,0.11
400-483,金口公園,ｶﾅｸﾞﾁｺｳｴﾝ,街区,北区中百舌鳥町４丁８４,大浜,北,中百舌鳥,0.11
400-484,梅寿公園,ﾊﾞｲｼﾞｭｺｳｴﾝ,街区,北区百舌鳥梅北町５丁１６,大浜,北,百舌鳥,0.10
400-485,築港新町はまひるがお公園,ﾁｯｺｳｼﾝﾏﾁﾊﾏﾋﾙｶﾞｵｺｳｴﾝ,街区,西区築港新町２丁６－４５,大浜,西,浜寺石津,0.12
400-486,大浜北町ウエーブ公園,ｵｵﾊﾏｷﾀﾏﾁｳｴｰﾌﾞｺｳｴﾝ,幼児,堺区大浜北町１丁,大浜,堺,英彰,0.07
400-487,大浜南町サーフィン公園,ｵｵﾊﾏﾐﾅﾐﾏﾁｻｰﾌｨﾝｺｳｴﾝ,幼児,堺区大浜南町１丁,大浜,堺,英彰,0.03
400-488,出島町レールウェイ公園,ﾃﾞｼﾞﾏﾁｮｳﾚｰﾙｳｪｲｺｳｴﾝ,幼児,堺区出島海岸通２丁,大浜,堺,英彰,0.10
400-489,楠町ストリーム公園,ｸｽﾉｷﾁｮｳｽﾄﾘｰﾑｺｳｴﾝ,幼児,堺区楠町４丁,大浜,堺,新湊,0.04
400-490,浜寺石津町中レーン公園,ﾊﾏﾃﾞﾗｲｼﾂﾞﾁｮｳﾅｶﾚｰﾝｺｳｴﾝ,幼児,西区浜寺石津町中１丁,大浜,西,浜寺石津,0.04
400-491,三宝町みずばしょう公園,ｻﾝﾎﾞｳﾁｮｳﾐｽﾞﾊﾞｼｮｳｺｳｴﾝ,幼児,堺区三宝町１丁１０－３,大浜,堺,三宝,0.06
400-492,上野芝向ヶ丘町きりんそう公園,ｳｴﾉｼﾊﾞﾑｺｳｶﾞｵｶﾁｮｳｷﾘﾝｿｳｺｳｴﾝ,街区,西区上野芝向ヶ丘町１丁７９１－５,大浜,西,向丘,0.25
400-493,大浜南町みやこぐさ公園,ｵｵﾊﾏﾐﾅﾐﾏﾁﾐﾔｺｸﾞｻｺｳｴﾝ,幼児,堺区大浜南町１丁１８－３,大浜,堺,英彰,0.04
400-494,西野つりふねそう公園,ﾆｼﾉﾂﾘﾌﾈｿｳｺｳｴﾝ,幼児,東区西野１１１－２７,原池,東,登美丘南,0.05
400-495,原山台しろつめぐさ公園,ﾊﾗﾔﾏﾀﾞｲｼﾛﾂﾒｸﾞｻｺｳｴﾝ,幼児,南区原山台５丁４５６－１４３,泉ヶ丘,南,原山台東,0.05
400-496,浜寺諏訪森公園,ﾊﾏﾃﾞﾗｽﾜﾉﾓﾘｺｳｴﾝ,街区,西区浜寺諏訪森町西１丁８－２,大浜,西,浜寺,0.16
400-497,大美野公園,ｵｵﾐﾉｺｳｴﾝ,幼児,東区大美野８７－１,原池,東,登美丘西,0.05
400-498,今池町まいづるそう公園,ｲﾏｲｹﾁｮｳﾏｲﾂﾞﾞﾙｿｳｺｳｴﾝ,幼児,堺区今池町６丁５８－１７,大浜,堺,浅香山,0.03
400-499,深井東町いわかがみ公園,ﾌｶｲﾋｶﾞｼﾏﾁｲﾜｶｶﾞﾐｺｳｴﾝ,幼児,中区深井東町３０３７－２,原池,中,東深井,0.03
400-500,西野おきなぐさ公園,ﾆｼﾉｵｷﾅｸﾞｻｺｳｴﾝ,幼児,東区西野３８０－８,原池,東,登美丘南,0.04
400-501,鳳東町こなすび公園,ｵｵﾄﾘﾋｶﾞｼﾏﾁｺﾅｽﾋﾞｺｳｴﾝ,幼児,西区鳳東町７丁７６８－３３,大浜,西,鳳南,0.04
400-502,宮山台わかさぎ公園,ﾐﾔﾔﾏﾀﾞｲﾜｶｻｷﾞｺｳｴﾝ,広場,南区宮山台３丁４－５７,泉ヶ丘,南,宮山台,0.01
400-503,御池台ふたりしずか公園,ﾐｲｹﾀﾞｲﾌﾀﾘｼｽﾞｶｺｳｴﾝ,幼児,南区御池台３丁３－１６０,泉ヶ丘,南,御池台,0.06
400-504,御池台ひとりしずか公園,ﾐｲｹﾀﾞｲﾋﾄﾘｼｽﾞｶｺｳｴﾝ,幼児,南区御池台３丁３－７６,泉ヶ丘,南,御池台,0.06
400-505,桃山台わかあゆ公園,ﾓﾓﾔﾏﾀﾞｲﾜｶｱﾕｺｳｴﾝ,幼児,南区桃山台３丁３３－１,泉ヶ丘,南,福泉中央,0.09
400-506,八田北町かるがも公園,ﾊﾝﾀﾞｷﾀﾁｮｳｶﾙｶﾞﾓｺｳｴﾝ,街区,中区八田北町１０－４３,原池,中,八田荘西,0.15
400-507,八田寺町すずがも公園,ﾊﾝﾀﾞｲｼﾞﾁｮｳｽｽﾞｶﾞﾓｺｳｴﾝ,街区,中区八田寺町２９１－２２４,原池,中,八田荘西,0.11
400-508,陶器北かたつむり公園,ﾄｳｷｷﾀｶﾀﾂﾑﾘｺｳｴﾝ,広場,中区陶器北１０６９－２,原池,中,東陶器,0.02
400-509,深井花のこみち,ﾌｶｲﾊﾅﾉｺﾐﾁ,緑道,中区深井清水町３４５８,原池,中,深井,0.41
400-510,和田公園,ﾜﾀﾞｺｳｴﾝ,幼児,南区和田３７２－４,泉ヶ丘,南,宮山台,0.10
400-511,浜寺船尾第２公園,ﾊﾏﾃﾞﾗﾌﾅｵﾀﾞｲ2ｺｳｴﾝ,街区,西区浜寺船尾町東１丁１１７,大浜,西,浜寺東,0.13
400-512,草尾きんぎょそう公園,ｸｻｵｷﾝｷﾞｮｿｳｺｳｴﾝ,幼児,東区草尾２５－１１,原池,東,登美丘西,0.03
400-513,浜寺石津町中サンド公園,ﾊﾏﾃﾞﾗｲｼﾂﾞﾁｮｳﾅｶｻﾝﾄﾞｺｳｴﾝ,幼児,西区浜寺石津町中４丁,大浜,西,浜寺石津,0.04
400-514,海山町ファクトリー公園,ｶｲｻﾝﾁｮｳﾌｧｸﾄﾘｰｺｳｴﾝ,幼児,堺区海山町２丁,大浜,堺,三宝,0.08
400-515,浜寺石津町中ブリーチ公園,ﾊﾏﾃﾞﾗｲｼﾂﾞﾁｮｳﾅｶﾌﾞﾘｰﾁｺｳｴﾝ,幼児,西区浜寺石津町中２丁,大浜,西,浜寺石津,0.04
400-516,出島町くまがいそう公園,ﾃﾞｼﾞﾏﾁｮｳｸﾏｶﾞｲｿｳｺｳｴﾝ,幼児,堺区出島町２丁１８９－１２７,大浜,堺,新湊,0.04
400-517,鳳中町すずむしそう公園,ｵｵﾄﾘﾅｶﾏﾁｽｽﾞﾑｼｿｳｺｳｴﾝ,幼児,西区鳳中町２丁４８－４,大浜,西,鳳,0.06
400-518,南野田くるまゆり公園,ﾐﾅﾐﾉﾀﾞｸﾙﾏﾕﾘｺｳｴﾝ,幼児,東区南野田３３５－３,原池,東,野田,0.09
400-519,南野田すかしゆり公園,ﾐﾅﾐﾉﾀﾞｽｶｼﾕﾘｺｳｴﾝ,街区,東区南野田３７５－９,原池,東,野田,0.17
400-520,深阪ねじばな公園,ﾌｶｻｶﾈｼﾞﾊﾞﾅｺｳｴﾝ,幼児,中区深阪５丁１２３４－３,原池,中,深阪,0.04
400-521,鳳西町せんにんそう公園,ｵｵﾄﾘﾆｼﾏﾁｾﾝﾆﾝｿｳｺｳｴﾝ,幼児,西区鳳西町１丁８０－６,大浜,西,鳳南,0.04
400-522,西野公園,ﾆｼﾉｺｳｴﾝ,街区,東区西野５７６－１,原池,東,登美丘南,0.15
400-523,鉢ヶ峯いずも公園,ﾊﾁｶﾞﾐﾈｲｽﾞﾓｺｳｴﾝ,街区,南区鉢ヶ峯寺３７９,泉ヶ丘,南,上神谷,0.58
400-524,浜寺諏訪森町西くろまつ公園,ﾊﾏﾃﾞﾗｽﾜﾉﾓﾘﾁｮｳﾆｼｸﾛﾏﾂｺｳｴﾝ,広場,西区浜寺諏訪森町西３丁１９７－４,大浜,西,浜寺,0.02
400-525,北条町さるすべり公園,ﾎｳｼﾞｮｳﾁｮｳｻﾙｽﾍﾞﾘｺｳｴﾝ,広場,西区北条町２丁４８２－２,大浜,西,向丘,0.01
400-526,南花田町おぐるま公園,ﾐﾅﾐﾊﾅﾀﾞﾁｮｳｵｸﾞﾙﾏｺｳｴﾝ,幼児,北区南花田町１１９－６,大浜,北,北八下,0.04
400-527,花田口公園,ﾊﾅﾀﾞｸﾞﾁｺｳｴﾝ,街区,堺区北花田口町２丁６１－３,大浜,堺,熊野,0.12
400-528,美木多上公園,ﾐｷﾀｶﾐｺｳｴﾝ,街区,南区美木多上１３５－１,泉ヶ丘,南,美木多,0.34
400-529,清水はざま公園,ｼﾐｽﾞﾊｻﾞﾏｺｳｴﾝ,街区,中区深井清水町３６０６,原池,中,深井,0.45
400-530,柏木町公園,ｶｼﾜｷﾞﾁｮｳｺｳｴﾝ,幼児,堺区柏木町４丁８０－１,大浜,堺,新湊,0.07
400-531,神南辺町とけいそう公園,ｶﾝﾅﾍﾞﾁｮｳﾄｹｲｿｳｺｳｴﾝ,街区,堺区神南辺町２丁７６－９,大浜,堺,三宝,0.25
400-532,中茶屋あまりりす公園,ﾅｶﾁｬﾔｱﾏﾘﾘｽｺｳｴﾝ,広場,東区中茶屋４１－４０,原池,東,登美丘西,0.02
400-533,日置荘田中町あさつき公園,ﾋｷｼｮｳﾀﾅｶﾏﾁｱｻﾂｷｺｳｴﾝ,幼児,東区日置荘田中町３３２,原池,東,日置荘西,0.06
400-534,菱木下の池公園,ﾋｼｷｼﾓﾉｲｹｺｳｴﾝ,街区,西区菱木３丁２５０１－１,大浜,西,福泉,0.21
400-535,清水おさ公園,ｼﾐｽﾞｵｻｺｳｴﾝ,街区,中区深井清水町３６９８,原池,中,深井,0.27
400-536,晴美台ゆきもちそう公園,ﾊﾙﾐﾀﾞｲﾕｷﾓﾁｿｳｺｳｴﾝ,幼児,南区晴美台４丁３－４４,泉ヶ丘,南,晴美台,0.06
400-537,晴美台かのこそう公園,ﾊﾙﾐﾀﾞｲｶﾉｺｿｳｺｳｴﾝ,幼児,南区晴美台４丁３－４６,泉ヶ丘,南,晴美台,0.03
400-538,宮山第４公園,ﾐﾔﾔﾏﾀﾞｲ4ｺｳｴﾝ,幼児,南区宮山台１丁２２－４,泉ヶ丘,南,宮山台,0.09
400-539,庭代第１５公園,ﾆﾜｼﾛﾀﾞｲ15ｺｳｴﾝ,幼児,南区庭代台４丁４４－９,泉ヶ丘,南,庭代台,0.08
400-540,深井中町しくらめん公園,ﾌｶｲﾅｶﾏﾁｼｸﾗﾒﾝｺｳｴﾝ,幼児,中区深井中町１８０２,原池,中,深井,0.03
400-541,陶器北小角田公園,ﾄｳｷｷﾀｺｶﾝﾀﾞｺｳｴﾝ,街区,中区陶器北１８６６,原池,中,東陶器,0.12
400-542,毛穴町まがも公園,ｹﾅﾁｮｳﾏｶﾞﾓｺｳｴﾝ,街区,中区毛穴町２７３－７,原池,中,八田荘西,0.10
400-543,日置荘田中町しばざくら公園,ﾋｷｼｮｳﾀﾅｶﾏﾁｼﾊﾞｻﾞｸﾗｺｳｴﾝ,幼児,東区日置荘田中町３２２－１,原池,東,日置荘西,0.07
400-544,築港新町はまなでしこ公園,ﾁｯｺｳｼﾝﾏﾁﾊﾏﾅﾃﾞｼｺｺｳｴﾝ,近隣,西区築港新町１丁５－２２,大浜,西,浜寺石津,1.00
400-545,築港新町はまはこべ公園,ﾁｯｺｳｼﾝﾏﾁﾊﾏﾊｺﾍﾞｺｳｴﾝ,街区,西区築港新町１丁５－２１,大浜,西,浜寺石津,0.32
400-546,城山台あるめりあ公園,ｼﾛﾔﾏﾀﾞｲｱﾙﾒﾘｱｺｳｴﾝ,幼児,南区城山台４丁２－６６,泉ヶ丘,南,城山台,0.03
400-547,上ゆりのき公園,ｶﾐﾕﾘﾉｷｺｳｴﾝ,広場,西区上１６５－１３,大浜,西,福泉上,0.02
400-548,松屋町はなかいどう公園,ﾏﾂﾔﾁｮｳﾊﾅｶｲﾄﾞｳｺｳｴﾝ,広場,堺区松屋町１丁６－１１,大浜,堺,三宝,0.02
400-549,庭代せきれい公園,ﾆﾜｼﾛｾｷﾚｲｺｳｴﾝ,街区,南区庭代台４丁４５－４,泉ヶ丘,南,庭代台,0.49
400-550,霞ヶ丘公園,ｶｽﾐｶﾞｵｶｺｳｴﾝ,地区,西区上野芝町８丁２２８０－３,大浜,西,上野芝,3.51
400-551,晴美第１０公園,ﾊﾙﾐﾀﾞｲ10ｺｳｴﾝ,幼児,南区晴美台１丁３３－４,泉ヶ丘,南,晴美台,0.05
400-552,みきとじ公園,ﾐｷﾄｼﾞｺｳｴﾝ,街区,南区桃山台４丁２６－３０,泉ヶ丘,南,福泉中央,0.13
400-553,桃山第９公園,ﾓﾓﾔﾏﾀﾞｲ9ｺｳｴﾝ,幼児,南区桃山台１丁２１－６３,泉ヶ丘,南,桃山台,0.06
400-554,御池第８公園,ﾐｲｹﾀﾞｲ8ｺｳｴﾝ,幼児,南区御池台２丁１－１６４,泉ヶ丘,南,御池台,0.03
400-555,赤坂第９公園,ｱｶｻｶﾀﾞｲ9ｺｳｴﾝ,幼児,南区赤坂台４丁１８－７,泉ヶ丘,南,赤坂台,0.04
400-556,新檜尾第６公園,ｼﾝﾋﾉｵﾀﾞｲ6ｺｳｴﾝ,幼児,南区新檜尾台４丁１０－７,泉ヶ丘,南,新檜尾台,0.05
400-557,御池台くりんざくら公園,ﾐｲｹﾀﾞｲｸﾘﾝｻﾞｸﾗｺｳｴﾝ,街区,南区御池台２丁４－５６,泉ヶ丘,南,御池台,0.14
400-558,豊田つくばねそう公園,ﾄﾖﾀﾞﾂｸﾊﾞﾈｿｳｺｳｴﾝ,幼児,南区豊田５２－４２,泉ヶ丘,南,上神谷,0.04
400-559,奥本公園,ｵｸﾓﾄｺｳｴﾝ,街区,北区奥本町１丁２８８,大浜,北,五箇荘,0.17
400-560,上野芝向ヶ丘町かもめらん公園,ｳｴﾉｼﾊﾞﾑｺｳｶﾞｵｶﾁｮｳｶﾓﾒﾗﾝｺｳｴﾝ,幼児,西区上野芝向ヶ丘町６丁１２８－５,大浜,西,向丘,0.03
400-561,福田はくさんいちげ公園,ﾌｸﾀﾞﾊｸｻﾝｲﾁｹﾞｺｳｴﾝ,幼児,中区福田１０７４－３,原池,東,登美丘西,0.03
400-562,高松まんりょう公園,ﾀｶﾏﾂﾏﾝﾘｮｳｺｳｴﾝ,幼児,東区高松２２９－２,原池,東,登美丘東,0.05
400-563,深井西公園,ﾌｶｲﾆｼｺｳｴﾝ,街区,中区深井中町８９７－３,原池,中,深井西,0.13
400-564,中村町公園,ﾅｶﾑﾗﾁｮｳｺｳｴﾝ,幼児,北区野遠町３５２－３,大浜,北,北八下,0.10
400-565,深阪大川端公園,ﾌｶｻｶｵｵｶﾜﾊﾞﾀｺｳｴﾝ,幼児,中区深阪４丁２５９６－１,原池,中,深阪,0.06
400-566,築港浜寺西町はまかんざし公園,ﾁｯｺｳﾊﾏﾃﾞﾗﾆｼﾏﾁﾊﾏｶﾝｻﾞｼｺｳｴﾝ,幼児,西区築港浜寺西町１０－６,大浜,西,浜寺昭和,0.07
400-567,登美丘北公園,ﾄﾐｵｶｷﾀｺｳｴﾝ,地区,東区丈六２０８－３,原池,東,登美丘東,1.07
400-568,協和町第６公園,ｷｮｳﾜﾁｮｳﾀﾞｲ6ｺｳｴﾝ,街区,堺区協和町４丁３６７－２,大浜,堺,大仙西,0.11
400-569,三原第８公園（さくら公園）,ﾐﾊﾗﾀﾞｲ8ｺｳｴﾝ,街区,南区三原台２丁８－２６,泉ヶ丘,南,三原台,0.14
400-570,三原第９公園（ふね公園）,ﾐﾊﾗﾀﾞｲ9ｺｳｴﾝ,幼児,南区三原台４丁３３－６,泉ヶ丘,南,三原台,0.05
400-571,庭代第１４公園,ﾆﾜｼﾛﾀﾞｲ14ｺｳｴﾝ,幼児,南区庭代台２丁２－６９,泉ヶ丘,南,庭代台,0.06
400-572,赤坂第１４公園,ｱｶｻｶﾀﾞｲ14ｺｳｴﾝ,幼児,南区赤坂台６丁２６－１０,泉ヶ丘,南,赤坂台,0.04
400-573,城山第３公園,ｼﾛﾔﾏﾀﾞｲ3ｺｳｴﾝ,幼児,南区城山台３丁４－１６,泉ヶ丘,南,城山台,0.09
400-574,おおもり公園,ｵｵﾓﾘｺｳｴﾝ,街区,南区桃山台３丁２８－２８,泉ヶ丘,南,美木多,0.27
400-575,田園メモリアル緑地,ﾀｿﾞﾉﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区三原台２丁１１－１,泉ヶ丘,南,三原台,1.20
400-576,野々井メモリアル緑地,ﾉﾉｲﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区桃山台３丁７－１１,泉ヶ丘,南,福泉中央,0.30
400-577,平田メモリアル緑地,ﾋﾗﾀﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区桃山台３丁２－２,泉ヶ丘,南,福泉中央,0.71
400-578,檜尾山メモリアル緑地,ﾋﾉｵﾔﾏﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区赤坂台５丁３１－２,泉ヶ丘,南,赤坂台,1.25
400-579,美木多メモリアル緑地,ﾐｷﾀﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区鴨谷台１丁４９－８,泉ヶ丘,南,美木多,0.86
400-580,新金岡町ブリック公園,ｼﾝｶﾅｵｶﾁｮｳﾌﾞﾘｯｸｺｳｴﾝ,街区,北区新金岡町５丁１００６,大浜,北,新金岡東,0.13
400-581,福田しらねあおい公園,ﾌｸﾀﾞｼﾗﾈｱｵｲｺｳｴﾝ,幼児,中区福田３０７－６,原池,中,東陶器,0.06
400-582,船堂公園,ｾﾝﾄﾞｳｺｳｴﾝ,近隣,北区船堂町１丁１７４,大浜,北,五箇荘東,1.86
400-583,翁橋公園,ｵｷﾅﾊﾞｼｺｳｴﾝ,街区,堺区翁橋町２丁１４５－２,大浜,堺,安井,0.31
400-584,陶器北公園,ﾄｳｷｷﾀｺｳｴﾝ,街区,中区陶器北１０７２－１,原池,中,東陶器,0.18
400-585,土塔町公園,ﾄﾞﾄｳﾁｮｳｺｳｴﾝ,近隣,中区土塔町１６２－２６,原池,中,東百舌鳥,1.81
400-586,向陵公園,ｺｳﾘｮｳｺｳｴﾝ,近隣,堺区向陵東町３丁２２０－２,大浜,堺,榎,1.51
400-587,添尾メモリアル緑地,ｿﾖｵﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区茶山台３丁２４－１１,泉ヶ丘,南,茶山台,1.59
400-588,百舌鳥本町やまはなそう公園,ﾓｽﾞﾎﾝﾏﾁﾔﾏﾊﾅｿｳｺｳｴﾝ,街区,北区百舌鳥本町３丁５２７－２,大浜,北,西百舌鳥,0.16
400-589,浜寺諏訪森町東公園,ﾊﾏﾃﾞﾗｽﾜﾉﾓﾘﾁｮｳﾋｶﾞｼｺｳｴﾝ,幼児,西区浜寺諏訪森町東３丁３４２－４,大浜,西,浜寺,0.04
400-590,シュガ谷公園,ｼｭｶﾞﾀﾆｺｳｴﾝ,街区,南区土佐屋台１５５１,泉ヶ丘,南,竹城台東,0.21
400-591,城山第４公園,ｼﾛﾔﾏﾀﾞｲ4ｺｳｴﾝ,幼児,南区城山台１丁３６－７,泉ヶ丘,南,城山台,0.05
400-592,原山メモリアル緑地,ﾊﾗﾔﾏﾒﾓﾘｱﾙﾘｮｸﾁ,都市緑地,南区原山台５丁４５６－３８,泉ヶ丘,南,原山台東,0.33
400-593,東山あかねすみれ公園,ﾋｶﾞｼﾔﾏｱｶﾈｽﾐﾚｺｳｴﾝ,幼児,中区東山２８－９,原池,中,久世,0.05
400-594,南野田公園,ﾐﾅﾐﾉﾀﾞｺｳｴﾝ,街区,東区南野田２２１－１,原池,東,野田,0.12
400-595,東雲東公園,ｼﾉﾉﾒﾋｶﾞｼｺｳｴﾝ,幼児,北区東雲東町２丁１２－１,大浜,北,東三国丘,0.10
400-596,東山はないかり公園,ﾋｶﾞｼﾔﾏﾊﾅｲｶﾘｺｳｴﾝ,幼児,中区東山７７－４８,原池,中,久世,0.09
400-597,土塔町西谷公園,ﾄﾞﾄｳﾁｮｳﾆｼﾀﾆｺｳｴﾝ,幼児,中区土塔町３０５０,原池,中,東百舌鳥,0.08
400-598,土塔町東公園,ﾄﾞﾄｳﾁｮｳﾋｶﾞｼｺｳｴﾝ,幼児,中区土塔町３０００,原池,中,東百舌鳥,0.06
400-599,土塔町北谷公園,ﾄﾞﾄｳﾁｮｳｷﾀﾀﾆｺｳｴﾝ,街区,中区土塔町３１３０,原池,中,東百舌鳥,0.15
400-600,向陵東町ぶどう公園,ｺｳﾘｮｳﾋｶﾞｼﾏﾁﾌﾞﾄﾞｳｺｳｴﾝ,幼児,堺区向陵東町３丁２２１－１９,大浜,堺,榎,0.04
400-601,家原大池公園,ｴﾊﾞﾗｵｵｲｹｺｳｴﾝ,地区,西区家原寺町１丁１３３－２,大浜,西,家原寺,4.14
400-602,笠池公園,ｶｻｲｹｺｳｴﾝ,街区,西区上３９－２,大浜,西,福泉上,0.47
400-603,大饗野公園,ｵﾜｲﾉｺｳｴﾝ,幼児,東区菩提町１丁１４８,原池,東,南八下,0.10
400-604,ひょんのき公園,ﾋｮﾝﾉｷｺｳｴﾝ,街区,中区土塔町３３２９,原池,中,東百舌鳥,0.12
400-605,おおたに公園,ｵｵﾀﾆｺｳｴﾝ,幼児,中区土塔町３３７９,原池,中,東百舌鳥,0.10
400-606,東湊町れもん公園,ﾋｶﾞｼﾐﾅﾄﾁｮｳﾚﾓﾝｺｳｴﾝ,幼児,堺区東湊町６丁３５３－３,大浜,堺,新湊,0.06
400-607,東浅香山町おかりば公園,ﾋｶﾞｼｱｻｶﾔﾏﾁｮｳｵｶﾘﾊﾞｺｳｴﾝ,近隣,北区東浅香山町４丁１－２６,大浜,北,新浅香山,0.97
400-608,庭代台やっこそう公園,ﾆﾜｼﾛﾀﾞｲﾔｯｺｿｳｺｳｴﾝ,街区,南区庭代台３丁９－１,泉ヶ丘,南,庭代台,0.12
400-609,中百舌鳥町れんげそう公園,ﾅｶﾓｽﾞﾁｮｳﾚﾝｹﾞｿｳｺｳｴﾝ,街区,北区中百舌鳥町１丁２４７,大浜,北,中百舌鳥,0.15
400-610,南花田町さざんか公園,ﾐﾅﾐﾊﾅﾀﾞﾁｮｳｻｻﾞﾝｶｺｳｴﾝ,広場,北区南花田町１１５－７,大浜,北,北八下,0.02
400-611,ばらいず池公園,ﾊﾞﾗｲｽﾞｲｹｺｳｴﾝ,街区,中区平井２１５－７,原池,中,久世,0.23
400-612,南野田りんご公園,ﾐﾅﾐﾉﾀﾞﾘﾝｺﾞｺｳｴﾝ,街区,東区南野田３３７－４４,原池,東,野田,0.15
400-613,百舌鳥本町ゆず公園,ﾓｽﾞﾎﾝﾏﾁﾕｽﾞｺｳｴﾝ,幼児,北区百舌鳥本町３丁５３８－９,大浜,北,西百舌鳥,0.04
400-614,菩提町ナシ公園,ﾎﾞﾀﾞｲﾁｮｳﾅｼｺｳｴﾝ,街区,東区菩提町３丁３９－２０,原池,東,南八下,0.25
400-615,菩提町キュウリ緑地,ﾎﾞﾀﾞｲﾁｮｳｷｭｳﾘﾘｮｸﾁ,都市緑地,東区菩提町３丁３９－３５,原池,東,南八下,0.68
400-616,土塔町ラフランス公園,ﾄﾞﾄｳﾁｮｳﾗﾌﾗﾝｽｺｳｴﾝ,幼児,中区土塔町５１－５,原池,中,東百舌鳥,0.04
400-617,野尻町くまざさ公園,ﾉｼﾞﾘﾁｮｳｸﾏｻﾞｻｺｳｴﾝ,広場,東区野尻町２８４－３０,原池,東,白鷺,0.02
400-618,第三向陵公園,ﾀﾞｲ3ｺｳﾘｮｳｺｳｴﾝ,街区,堺区向陵東町１丁６５,大浜,堺,榎,0.54
400-619,東湊みどりの広場,ﾋｶﾞｼﾐﾅﾄﾐﾄﾞﾘﾉﾋﾛﾊﾞ,幼児,堺区東湊町３丁１８０－１,大浜,堺,新湊,0.05
400-620,山田鶴鳴公園,ﾔﾏﾀﾞｶｸﾒｲｺｳｴﾝ,幼児,西区山田１丁１０９４－５,大浜,西,福泉,0.05
