全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
401005,000000005207,福岡県北九州市,八幡西図書館,ヤハタニシトショカン,,,1512,,,401099,0052002,福岡県北九州市八幡西区岸の浦二丁目2-1,福岡県,北九州市,八幡西区岸の浦二丁目,2-1,,33.8612,130.7639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000002033,福岡県北九州市,ひびきの小学校,ヒビキノショウガッコウ,,,1503,,,401030,0073000,福岡県北九州市若松区ひびきの北8-26,福岡県,北九州市,若松区ひびきの北,8-26,,33.893055,130.711275,,,,,,,,,,,,8080138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000002027,福岡県北九州市,門司総合特別支援学校,モジソウゴウトクベツシエンガッコウ,,,1509,,,401013,0111000,福岡県北九州市門司区矢筈町1-13,福岡県,北九州市,門司区矢筈町,1-13,,33.9163,130.9442,,,,,,,,,,,,8000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000002023,福岡県北九州市,北九州中央高等学園兼戸畑高等専修学校,キタキュウシュウチュウオウコウトウガクエンケントバタコウトウセンシュウガッコウ,,,1509,,,401056,0015001,福岡県北九州市戸畑区沢見一丁目3-47,福岡県,北九州市,戸畑区沢見一丁目,3-47,,33.88998914,130.8367963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001293,福岡県北九州市,教育センター,キョウイクセンター,,,1514,,,401099,0001000,福岡県北九州市八幡西区相生町1-20,福岡県,北九州市,八幡西区相生町,1-20,,33.8517,130.7479,,,,,,,,,,,,8060044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000974,福岡県北九州市,戸畑図書館,トバタトショカン,,,1512,,,401056,0020001,福岡県北九州市戸畑区新池一丁目1-1,福岡県,北九州市,戸畑区新池一丁目,1-1,,33.8947,130.8294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000595,福岡県北九州市,鷹の巣幼稚園,タカノスヨウチエン,,,1501,,,401099,0097003,福岡県北九州市八幡西区鷹の巣三丁目10-25,福岡県,北九州市,八幡西区鷹の巣三丁目,10-25,,33.8537,130.7462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000593,福岡県北九州市,八幡東幼稚園,ヤハタヒガシヨウチエン,,,1501,,,401081,0036003,福岡県北九州市八幡東区高見三丁目1-32,福岡県,北九州市,八幡東区高見三丁目,1-32,,33.8683,130.8366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000591,福岡県北九州市,小倉南幼稚園,コクラミナミヨウチエン,,,1501,,,401072,0108000,福岡県北九州市小倉南区春ケ丘10-8,福岡県,北九州市,小倉南区春ケ丘,10-8,,33.8473,130.8843,,,,,,,,,,,,8020803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000590,福岡県北九州市,小倉幼稚園,コクラヨウチエン,,,1501,,,401064,0048002,福岡県北九州市小倉北区堺町二丁目4-21,福岡県,北九州市,小倉北区堺町二丁目,4-21,,33.8824,130.8868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000554,福岡県北九州市,旧戸畑高等専修学校,キュウトバタコウトウセンシュウガッコウ,,,1510,,,401056,0015001,福岡県北九州市戸畑区沢見一丁目3-47,福岡県,北九州市,戸畑区沢見一丁目,3-47,,33.8899,130.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000553,福岡県北九州市,北九州中央高等学園,キタキュウシュウチュウオウコウトウガクエン,,,1509,,,401056,0015001,福岡県北九州市戸畑区沢見一丁目3-47,福岡県,北九州市,戸畑区沢見一丁目,3-47,,33.8899,130.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000551,福岡県北九州市,小倉総合特別支援学校,コクラソウゴウトクベツシエンガッコウ,,,1509,,,401072,0108000,福岡県北九州市小倉南区春ケ丘10-3,福岡県,北九州市,小倉南区春ケ丘,10-3,,33.851214,130.884575,,,,,,,,,,,,8020803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000550,福岡県北九州市,八幡特別支援学校,ヤハタトクベツシエンガッコウ,,,1509,,,401099,0097003,福岡県北九州市八幡西区鷹の巣三丁目7-1,福岡県,北九州市,八幡西区鷹の巣三丁目,7-1,,33.8544,130.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000549,福岡県北九州市,八幡西特別支援学校,ヤハタニシトクベツシエンガッコウ,,,1509,,,401099,0083004,福岡県北九州市八幡西区下上津役四丁目8-2,福岡県,北九州市,八幡西区下上津役四丁目,8-2,,33.8269,130.7488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000548,福岡県北九州市,小池特別支援学校,コイケトクベツシエンガッコウ,,,1509,,,401030,0018000,福岡県北九州市若松区大字小敷583-1,福岡県,北九州市,若松区大字小敷,583-1,,33.8853,130.7051,,,,,,,,,,,,8080132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000547,福岡県北九州市,小倉北特別支援学校,コクラキタトクベツシエンガッコウ,,,1509,,,401064,0054004,福岡県北九州市小倉北区下到津四丁目3-1,福岡県,北九州市,小倉北区下到津四丁目,3-1,,33.8792,130.8566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000546,福岡県北九州市,小倉南特別支援学校,コクラミナミトクベツシエンガッコウ,,,1509,,,401072,0128004,福岡県北九州市小倉南区若園四丁目1-1,福岡県,北九州市,小倉南区若園四丁目,1-1,,33.848,130.8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000544,福岡県北九州市,北九州市立高等学校,キタキュウシュウシリツコウトウガッコウ,,,1505,,,401056,0002001,福岡県北九州市戸畑区浅生一丁目10-1,福岡県,北九州市,戸畑区浅生一丁目,10-1,,33.8912,130.8275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000543,福岡県北九州市,飛幡中学校,トビハタチュウガッコウ,,,1504,,,401056,0011001,福岡県北九州市戸畑区小芝一丁目8-20,福岡県,北九州市,戸畑区小芝一丁目,8-20,,33.8931,130.8354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000542,福岡県北九州市,中原中学校,ナカバルチュウガッコウ,,,1504,,,401056,0014002,福岡県北九州市戸畑区境川二丁目6-1,福岡県,北九州市,戸畑区境川二丁目,6-1,,33.892,130.8441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000541,福岡県北九州市,大谷中学校,オオタニチュウガッコウ,,,1504,,,401056,0037001,福岡県北九州市戸畑区東大谷一丁目9-1,福岡県,北九州市,戸畑区東大谷一丁目,9-1,,33.8799,130.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000540,福岡県北九州市,高生中学校,タカオチュウガッコウ,,,1504,,,401056,0025001,福岡県北九州市戸畑区高峰一丁目6-1,福岡県,北九州市,戸畑区高峰一丁目,6-1,,33.8889,130.8244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000539,福岡県北九州市,木屋瀬中学校,コヤノセチュウガッコウ,,,1504,,,401099,0033000,福岡県北九州市八幡西区大字野面2-1,福岡県,北九州市,八幡西区大字野面,2-1,,33.7801,130.7478,,,,,,,,,,,,8071262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000538,福岡県北九州市,本城中学校,ホンジョウチュウガッコウ,,,1504,,,401099,0155006,福岡県北九州市八幡西区本城東六丁目1-14,福岡県,北九州市,八幡西区本城東六丁目,1-14,,33.8741,130.7292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
